Principal Component 1,Principal Component 2,Cluster,Cluster_Label
-1.8814883995882972,0.6595656233233717,1,Newer / Developing Customers
-1.0101172679405397,-0.468583824788322,1,Newer / Developing Customers
-0.9654113730714797,-0.9313417171944534,1,Newer / Developing Customers
-0.6279875425908563,0.6518746463273294,1,Newer / Developing Customers
0.15122197335883866,-1.2449690197985996,0,Loyal Established Customers
2.4232112013150178,0.6100616929037589,2,Senior High-Risk Customers
-0.18931593547778852,-0.1547277654704117,1,Newer / Developing Customers
0.7067903594125138,-1.523754150113856,0,Loyal Established Customers
1.4767436819004782,-1.355408712823948,0,Loyal Established Customers
-1.983850873032488,0.6669779579320985,1,Newer / Developing Customers
-1.9533686240777386,0.6543000006941697,1,Newer / Developing Customers
0.20144223299054068,-0.45565114827915726,0,Loyal Established Customers
0.6066092572861419,1.6170443920925583,2,Senior High-Risk Customers
1.2654179860804482,2.0285855368845658,2,Senior High-Risk Customers
-1.663479602281193,0.24594055831775485,1,Newer / Developing Customers
1.3567791191979621,2.21909765966739,2,Senior High-Risk Customers
-0.9448086706126008,0.37064716102776246,1,Newer / Developing Customers
-0.8155511646082063,0.46103364074409303,1,Newer / Developing Customers
0.3853410886866077,-0.5323363584041667,0,Loyal Established Customers
0.06830185801973884,-0.13115660352822278,1,Newer / Developing Customers
-0.7637519088011311,0.6417961654646129,1,Newer / Developing Customers
-2.031970651207397,0.5259653029197847,1,Newer / Developing Customers
0.3564827618832881,-0.7900581011834436,0,Loyal Established Customers
1.1578127887139646,-0.7984766479655151,0,Loyal Established Customers
0.8749681569509125,-0.5041635227566572,0,Loyal Established Customers
-0.7281272910675166,0.5292055069890784,1,Newer / Developing Customers
0.6031190113006593,-0.6354410155701327,0,Loyal Established Customers
-0.4717830823707423,-0.30096422027762826,1,Newer / Developing Customers
1.3718388685848537,2.124634869461392,2,Senior High-Risk Customers
0.5180466481989631,-1.372648273489803,0,Loyal Established Customers
1.0604577859233317,-0.792849612825492,0,Loyal Established Customers
-1.4427606974288238,-0.24757125482601045,1,Newer / Developing Customers
1.0590620116320162,-1.3691986374492207,0,Loyal Established Customers
0.22503305332850326,-0.921947417853888,0,Loyal Established Customers
1.0323103329595082,-1.038783473631503,0,Loyal Established Customers
-1.6440212302718344,0.17371572703824834,1,Newer / Developing Customers
-0.45521806423887146,-1.369431261111294,0,Loyal Established Customers
0.7055362075696751,-0.29525330523568727,0,Loyal Established Customers
2.6876314519340547,0.5140815612139699,2,Senior High-Risk Customers
1.407842991066092,-1.4680880263334342,0,Loyal Established Customers
-0.6895018833351211,0.5347055497585271,1,Newer / Developing Customers
1.1400011659579476,-0.9662485743751547,0,Loyal Established Customers
0.8358605284197274,2.3510821726143467,2,Senior High-Risk Customers
-0.9410539010068665,0.2706527986407976,1,Newer / Developing Customers
0.3310416122601309,-0.05930964678407854,0,Loyal Established Customers
-0.9403919061252995,-0.9552275042828192,1,Newer / Developing Customers
0.8218123482628535,2.367108910647133,2,Senior High-Risk Customers
-0.2822113331406647,0.2742621620853426,1,Newer / Developing Customers
1.3243398356805614,2.1253775769971672,2,Senior High-Risk Customers
-0.6819494265917614,0.036436798381810784,1,Newer / Developing Customers
-1.5759013530438293,0.12684927348761613,1,Newer / Developing Customers
-1.3611469504379983,-0.1365215344218666,1,Newer / Developing Customers
1.7611262125156117,-1.3919685658420107,0,Loyal Established Customers
2.6941900909008005,0.48769364358453166,2,Senior High-Risk Customers
1.0257845663096639,-1.1463340981394279,0,Loyal Established Customers
0.7398879266133269,-1.4856521085675245,0,Loyal Established Customers
1.3485017291972325,-1.4890645562273757,0,Loyal Established Customers
0.12836508987344283,0.23852656790932064,1,Newer / Developing Customers
-1.7871313680169139,0.5919747531369739,1,Newer / Developing Customers
1.6455703176505523,2.040434281110396,2,Senior High-Risk Customers
-0.2516579873454285,-0.2937949966093363,1,Newer / Developing Customers
-0.9554460076061468,0.36922331890488796,1,Newer / Developing Customers
-1.77273829466264,0.2194109936627845,1,Newer / Developing Customers
2.804934990164895,0.5216579115356138,2,Senior High-Risk Customers
-0.6191564623600542,0.4138844884595253,1,Newer / Developing Customers
0.7781151191609277,0.6251736953087162,2,Senior High-Risk Customers
-1.2172765032011004,-0.5745874612760217,1,Newer / Developing Customers
0.05447005739186278,-1.3773382052283525,0,Loyal Established Customers
-1.1643615858052327,-0.42647470647136354,1,Newer / Developing Customers
0.18705218472363105,-1.0292823949572871,0,Loyal Established Customers
-0.668753842992546,0.6403107503930631,1,Newer / Developing Customers
0.3681960717128655,-1.4998689099605254,0,Loyal Established Customers
0.11047369728352979,0.34234081612704087,1,Newer / Developing Customers
0.07824137961888726,0.12876350547885138,1,Newer / Developing Customers
0.6315350987333205,-0.3323067049002555,0,Loyal Established Customers
-1.449518024882511,0.17946578415312192,1,Newer / Developing Customers
0.34954169130634644,-0.2097597584406224,0,Loyal Established Customers
1.169076503829015,-0.9927255440392674,0,Loyal Established Customers
-1.3530002908560586,-0.1608182182366125,1,Newer / Developing Customers
